D:\chromeDownloads\SortedSynced\armyWives\S01E01\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\ArrestedDevelopment\S01E04\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\ArrestedDevelopment\S01E11\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\ArrestedDevelopment\S02E01\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\ArrestedDevelopment\S02E02\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\ArrestedDevelopment\S02E03\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\ArrestedDevelopment\S02E04\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\ArrestedDevelopment\S02E05\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\ArrestedDevelopment\S02E06\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\ArrestedDevelopment\S02E07\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\ArrestedDevelopment\S02E08\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\ArrestedDevelopment\S02E09\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\ArrestedDevelopment\S02E10\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\ArrestedDevelopment\S02E11\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\ArrestedDevelopment\S02E12\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\ArrestedDevelopment\S02E13\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\ArrestedDevelopment\S02E14\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\ArrestedDevelopment\S02E15\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\ArrestedDevelopment\S02E16\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\ArrestedDevelopment\S02E17\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\ArrestedDevelopment\S02E18\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\Avatar\S01E01\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\Avatar\S01E03\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\Avatar\S01E05\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\Avatar\S01E14\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\Avatar\S01E15\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\Avatar\S01E19\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\Avatar\S01E20\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\Avatar\S02E08\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\Avatar\S02E09\en.srt,Synced and extracted phrases
D:\chromeDownloads\SortedSynced\Avatar\S02E10\en.srt,Synced and extracted phrases
